nSeq;I1; I2; O1; O2;A1;A2;A3;A4;A5;A6
2;0;0;0;0;507;511;0;508;38;11
3;0;0;0;0;506;512;0;507;38;11
4;0;0;0;0;505;512;0;507;38;11
5;0;0;0;0;504;511;0;508;38;11
6;0;0;0;0;503;511;0;507;38;11
7;0;0;0;0;507;511;0;508;38;11
8;0;0;0;0;506;512;0;507;38;11
9;0;0;0;0;508;511;0;507;38;11
10;0;0;0;0;506;510;0;504;38;11
11;0;0;0;0;507;511;0;503;38;11
12;0;0;0;0;506;510;0;505;38;11
13;0;0;0;0;506;509;0;507;38;11
14;0;0;0;0;504;511;0;507;38;11
15;0;0;0;0;507;512;0;507;38;11
0;0;0;0;0;512;512;0;506;38;11
1;0;0;0;0;515;511;0;508;38;11
2;0;0;0;0;524;509;0;509;38;11
3;0;0;0;0;515;510;0;510;38;11
4;0;0;0;0;509;507;0;507;38;11
5;0;0;0;0;506;506;0;515;38;11
6;0;0;0;0;504;506;0;519;38;11
7;0;0;0;0;504;507;0;519;38;11
8;0;0;0;0;503;510;0;521;38;11
9;0;0;0;0;504;510;0;518;38;11
10;0;0;0;0;505;511;0;517;38;11
11;0;0;0;0;509;512;0;518;38;11
12;0;0;0;0;503;510;0;515;38;11
13;0;0;0;0;507;510;0;516;38;11
14;0;0;0;0;504;511;0;518;38;11
15;0;0;0;0;510;511;0;516;38;11
0;0;0;0;0;507;510;0;515;38;11
1;0;0;0;0;507;510;0;514;38;11
2;0;0;0;0;508;511;0;516;38;11
3;0;0;0;0;510;512;0;516;38;11
4;0;0;0;0;505;511;0;519;38;11
5;0;0;0;0;503;511;0;519;38;11
6;0;0;0;0;506;513;0;522;38;11
7;0;0;0;0;508;514;0;527;38;11
8;0;0;0;0;508;513;0;523;38;11
9;0;0;0;0;505;512;0;520;38;11
10;0;0;0;0;507;511;0;517;38;11
11;0;0;0;0;507;511;0;520;38;11
12;0;0;0;0;507;508;0;512;38;11
13;0;0;0;0;502;509;0;511;38;11
14;0;0;0;0;508;508;0;508;38;11
15;0;0;0;0;510;509;0;508;38;11
0;0;0;0;0;502;509;0;507;38;11
1;0;0;0;0;502;509;0;507;38;11
2;0;0;0;0;504;511;0;507;38;11
3;0;0;0;0;504;511;0;512;38;11
4;0;0;0;0;510;511;0;513;38;11
5;0;0;0;0;508;512;0;534;38;11
6;0;0;0;0;513;512;0;519;38;11
7;0;0;0;0;515;514;0;519;38;11
8;0;0;0;0;516;515;0;517;38;11
9;0;0;0;0;513;512;0;516;38;11
10;0;0;0;0;509;513;0;515;38;11
11;0;0;0;0;508;512;0;515;38;11
12;0;0;0;0;504;511;0;515;38;11
13;0;0;0;0;501;511;0;515;38;11
14;0;0;0;0;503;512;0;515;38;11
15;0;0;0;0;500;512;0;515;38;11
0;0;0;0;0;499;513;0;514;38;11
1;0;0;0;0;508;511;0;516;38;11
2;0;0;0;0;507;511;0;515;38;11
3;0;0;0;0;506;513;0;513;38;11
4;0;0;0;0;502;513;0;521;38;11
5;0;0;0;0;505;512;0;527;38;11
6;0;0;0;0;505;512;0;531;38;11
7;0;0;0;0;505;513;0;523;38;11
8;0;0;0;0;509;512;0;518;38;11
9;0;0;0;0;509;511;0;512;38;11
10;0;0;0;0;506;513;0;510;38;11
11;0;0;0;0;510;514;0;524;38;11
12;0;0;0;0;508;512;0;507;38;11
13;0;0;0;0;509;512;0;504;38;11
14;0;0;0;0;505;512;0;505;38;11
15;0;0;0;0;505;512;0;505;38;11
0;0;0;0;0;506;510;0;503;38;11
1;0;0;0;0;506;510;0;504;38;11
2;0;0;0;0;504;509;0;520;38;11
3;0;0;0;0;500;511;0;504;38;11
4;0;0;0;0;506;510;0;504;38;11
5;0;0;0;0;506;508;0;504;38;11
6;0;0;0;0;505;509;0;505;38;11
7;0;0;0;0;504;510;0;506;38;11
8;0;0;0;0;504;511;0;505;38;11
9;0;0;0;0;507;511;0;511;38;11
10;0;0;0;0;508;511;0;512;38;11
11;0;0;0;0;505;510;0;514;38;11
12;0;0;0;0;507;509;0;512;38;11
13;0;0;0;0;504;509;0;513;38;11
14;0;0;0;0;503;510;0;515;38;11
15;0;0;0;0;506;510;0;513;38;11
0;0;0;0;0;508;512;0;513;38;11
1;0;0;0;0;510;509;0;514;38;11
2;0;0;0;0;507;508;0;515;38;11
3;0;0;0;0;501;509;0;516;38;11
4;0;0;0;0;514;509;0;513;38;11
5;0;0;0;0;527;509;0;511;38;11
6;0;0;0;0;516;509;0;511;38;11
7;0;0;0;0;513;511;0;510;38;11
8;0;0;0;0;512;510;0;507;38;11
9;0;0;0;0;512;510;0;507;38;11
10;0;0;0;0;511;510;0;507;38;11
11;0;0;0;0;500;511;0;505;38;11
12;0;0;0;0;502;510;0;503;38;11
13;0;0;0;0;502;509;0;505;38;11
14;0;0;0;0;511;510;0;506;38;11
15;0;0;0;0;515;511;0;507;38;11
0;0;0;0;0;515;510;0;509;38;11
1;0;0;0;0;517;510;0;510;38;11
2;0;0;0;0;520;510;0;511;38;11
3;0;0;0;0;509;512;0;511;38;11
4;0;0;0;0;504;512;0;512;38;11
5;0;0;0;0;496;513;0;513;38;11
6;0;0;0;0;490;513;0;520;38;11
7;0;0;0;0;503;513;0;526;38;11
8;0;0;0;0;502;511;0;528;38;11
9;0;0;0;0;499;512;0;529;38;11
10;0;0;0;0;504;513;0;528;38;11
11;0;0;0;0;503;512;0;524;38;11
12;0;0;0;0;505;513;0;520;38;11
13;0;0;0;0;506;513;0;515;38;11
14;0;0;0;0;513;515;0;511;38;11
15;0;0;0;0;515;516;0;510;38;11
0;0;0;0;0;513;515;0;508;38;11
1;0;0;0;0;504;515;0;508;38;11
2;0;0;0;0;503;513;0;509;38;11
3;0;0;0;0;507;515;0;512;38;11
4;0;0;0;0;498;513;0;511;38;11
5;0;0;0;0;497;513;0;511;38;11
6;0;0;0;0;504;513;0;511;38;11
7;0;0;0;0;510;512;0;510;38;11
8;0;0;0;0;518;511;0;511;38;11
9;0;0;0;0;516;508;0;510;38;11
10;0;0;0;0;517;511;0;509;38;11
11;0;0;0;0;521;512;0;508;38;11
12;0;0;0;0;516;511;0;511;38;11
13;0;0;0;0;507;510;0;514;38;11
14;0;0;0;0;505;509;0;516;38;11
15;0;0;0;0;502;510;0;515;38;11
0;0;0;0;0;505;510;0;515;38;11
1;0;0;0;0;502;511;0;514;38;11
2;0;0;0;0;500;511;0;512;38;11
3;0;0;0;0;503;511;0;511;38;11
4;0;0;0;0;506;510;0;511;38;11
5;0;0;0;0;507;508;0;508;38;11
6;0;0;0;0;508;509;0;507;38;11
7;0;0;0;0;505;509;0;509;38;11
8;0;0;0;0;505;510;0;508;38;12
9;0;0;0;0;508;509;0;508;38;11
10;0;0;0;0;509;509;0;509;38;11
11;0;0;0;0;507;510;0;513;38;11
12;0;0;0;0;509;510;0;506;38;11
13;0;0;0;0;503;510;0;504;38;11
14;0;0;0;0;505;510;0;504;38;11
15;0;0;0;0;507;509;0;505;38;11
0;0;0;0;0;507;508;0;506;38;11
1;0;0;0;0;505;509;0;506;38;11
2;0;0;0;0;502;512;0;519;38;12
3;0;0;0;0;504;511;0;506;38;11
4;0;0;0;0;504;511;0;511;38;12
5;0;0;0;0;506;509;0;504;38;11
6;0;0;0;0;508;511;0;505;38;11
7;0;0;0;0;507;512;0;505;38;11
8;0;0;0;0;507;512;0;505;38;11
9;0;0;0;0;510;512;0;512;38;11
10;0;0;0;0;510;512;0;515;38;12
11;0;0;0;0;507;512;0;515;38;12
12;0;0;0;0;498;512;0;513;38;12
13;0;0;0;0;492;510;0;512;38;11
14;0;0;0;0;501;512;0;512;38;12
15;0;0;0;0;506;512;0;513;38;11
0;0;0;0;0;517;511;0;514;38;11
1;0;0;0;0;528;511;0;512;38;11
2;0;0;0;0;520;511;0;511;38;11
3;0;0;0;0;525;511;0;511;38;11
4;0;0;0;0;517;512;0;511;38;11
5;0;0;0;0;508;511;0;511;38;12
6;0;0;0;0;508;512;0;513;38;12
7;0;0;0;0;504;511;0;515;38;12
8;0;0;0;0;504;510;0;515;38;11
9;0;0;0;0;505;510;0;515;38;11
10;0;0;0;0;505;509;0;513;38;11
11;0;0;0;0;504;509;0;513;38;11
12;0;0;0;0;508;509;0;513;38;11
13;0;0;0;0;511;509;0;513;38;12
14;0;0;0;0;506;509;0;511;38;12
15;0;0;0;0;503;511;0;508;38;12
0;0;0;0;0;499;511;0;506;38;12
1;0;0;0;0;503;511;0;504;38;12
2;0;0;0;0;512;511;0;504;38;12
3;0;0;0;0;508;510;0;504;38;11
4;0;0;0;0;513;510;0;504;38;11
5;0;0;0;0;524;510;0;511;38;11
6;0;0;0;0;530;511;0;514;38;11
7;0;0;0;0;524;513;0;518;38;12
8;0;0;0;0;515;513;0;516;38;12
9;0;0;0;0;505;512;0;515;38;12
10;0;0;0;0;496;512;0;514;38;12
11;0;0;0;0;493;513;0;512;38;12
12;0;0;0;0;504;514;0;512;38;12
13;0;0;0;0;504;512;0;511;38;11
14;0;0;0;0;505;512;0;509;38;11
15;0;0;0;0;509;513;0;507;38;11
0;0;0;0;0;510;513;0;504;38;12
1;0;0;0;0;508;511;0;506;38;12
2;0;0;0;0;507;512;0;505;38;12
3;0;0;0;0;506;512;0;505;38;12
4;0;0;0;0;510;514;0;512;38;12
5;0;0;0;0;510;513;0;517;38;12
6;0;0;0;0;510;513;0;519;38;12
7;0;0;0;0;514;512;0;517;38;12
8;0;0;0;0;511;513;0;514;38;12
9;0;0;0;0;505;513;0;524;38;11
10;0;0;0;0;504;512;0;510;38;12
11;0;0;0;0;504;513;0;509;38;12
12;0;0;0;0;500;512;0;510;38;12
13;0;0;0;0;507;510;0;511;38;12
14;0;0;0;0;514;510;0;511;38;12
15;0;0;0;0;510;511;0;511;38;12
0;0;0;0;0;511;509;0;511;38;12
1;0;0;0;0;506;510;0;511;38;12
2;0;0;0;0;504;512;0;510;38;12
3;0;0;0;0;507;513;0;510;38;12
4;0;0;0;0;506;512;0;508;38;12
5;0;0;0;0;502;512;0;512;38;12
6;0;0;0;0;512;511;0;512;38;12
7;0;0;0;0;513;511;0;511;38;12
8;0;0;0;0;512;511;0;511;38;12
9;0;0;0;0;512;511;0;511;38;12
10;0;0;0;0;509;512;0;510;38;12
11;0;0;0;0;507;512;0;510;38;12
12;0;0;0;0;510;510;0;510;38;12
13;0;0;0;0;505;511;0;507;38;12
14;0;0;0;0;503;511;0;508;38;12
15;0;0;0;0;503;513;0;506;38;12
0;0;0;0;0;507;511;0;507;38;12
1;0;0;0;0;507;510;0;508;38;12
2;0;0;0;0;507;510;0;507;38;12
3;0;0;0;0;508;508;0;508;38;12
4;0;0;0;0;507;510;0;507;38;12
5;0;0;0;0;504;511;0;504;38;12
6;0;0;0;0;502;511;0;502;38;12
7;0;0;0;0;505;511;0;500;38;12
8;0;0;0;0;505;511;0;499;38;12
9;0;0;0;0;505;511;0;498;38;12
10;0;0;0;0;508;511;0;499;38;12
11;0;0;0;0;513;512;0;499;38;12
12;0;0;0;0;509;511;0;499;38;12
13;0;0;0;0;505;512;0;499;38;12
14;0;0;0;0;503;511;0;499;38;12
15;0;0;0;0;504;510;0;500;38;12
0;0;0;0;0;505;512;0;497;38;12
1;0;0;0;0;504;511;0;515;38;12
2;0;0;0;0;507;512;0;508;38;12
3;0;0;0;0;511;511;0;508;38;12
4;0;0;0;0;516;508;0;507;38;12
5;0;0;0;0;524;509;0;506;38;12
6;0;0;0;0;524;507;0;505;38;12
7;0;0;0;0;509;509;0;504;38;12
8;0;0;0;0;507;508;0;503;38;12
9;0;0;0;0;506;509;0;503;38;12
10;0;0;0;0;501;508;0;503;38;12
11;0;0;0;0;501;510;0;504;38;12
12;0;0;0;0;503;510;0;503;38;12
13;0;0;0;0;504;511;0;504;38;12
14;0;0;0;0;504;512;0;507;38;12
15;0;0;0;0;508;513;0;504;38;12
0;0;0;0;0;509;511;0;515;38;12
1;0;0;0;0;507;512;0;521;38;12
2;0;0;0;0;508;513;0;524;38;12
3;0;0;0;0;507;514;0;524;38;12
4;0;0;0;0;509;511;0;519;38;12
5;0;0;0;0;508;510;0;515;38;12
6;0;0;0;0;508;509;0;512;38;12
7;0;0;0;0;504;509;0;511;38;12
8;0;0;0;0;507;511;0;509;38;12
9;0;0;0;0;506;509;0;497;38;12
10;0;0;0;0;506;510;0;489;38;12
11;0;0;0;0;507;510;0;487;38;12
12;0;0;0;0;509;507;0;486;38;12
13;0;0;0;0;515;508;0;488;38;12
14;0;0;0;0;517;507;0;491;38;12
15;0;0;0;0;507;507;0;495;38;12
0;0;0;0;0;500;506;0;497;38;12
1;0;0;0;0;496;506;0;499;38;12
2;0;0;0;0;506;506;0;504;38;12
3;0;0;0;0;516;509;0;500;38;12
4;0;0;0;0;508;510;0;502;38;12
5;0;0;0;0;510;508;0;504;38;12
6;0;0;0;0;516;509;0;506;38;12
7;0;0;0;0;519;510;0;507;38;12
8;0;0;0;0;525;509;0;505;38;12
9;0;0;0;0;528;509;0;507;38;12
10;0;0;0;0;520;510;0;506;38;12
11;0;0;0;0;521;513;0;505;38;12
12;0;0;0;0;520;513;0;502;38;12
13;0;0;0;0;520;512;0;491;38;12
14;0;0;0;0;525;510;0;488;38;12
15;0;0;0;0;520;512;0;488;38;12
0;0;0;0;0;512;511;0;490;38;12
1;0;0;0;0;513;511;0;495;38;12
2;0;0;0;0;507;511;0;499;38;12
3;0;0;0;0;501;511;0;503;38;12
4;0;0;0;0;507;509;0;503;38;12
5;0;0;0;0;505;510;0;504;38;12
6;0;0;0;0;508;510;0;505;38;12
7;0;0;0;0;509;508;0;504;38;12
8;0;0;0;0;508;510;0;503;38;12
9;0;0;0;0;510;510;0;500;38;12
10;0;0;0;0;512;510;0;503;38;12
11;0;0;0;0;514;512;0;504;38;12
12;0;0;0;0;514;511;0;504;38;12
13;0;0;0;0;511;511;0;506;38;12
14;0;0;0;0;508;513;0;506;38;12
15;0;0;0;0;507;514;0;508;38;12
0;0;0;0;0;506;513;0;504;38;12
1;0;0;0;0;508;511;0;501;38;12
2;0;0;0;0;510;509;0;499;38;12
3;0;0;0;0;506;508;0;500;38;12
4;0;0;0;0;506;508;0;504;38;12
5;0;0;0;0;505;507;0;504;38;12
6;0;0;0;0;504;508;0;519;38;12
7;0;0;0;0;508;508;0;507;38;12
8;0;0;0;0;512;507;0;507;38;12
9;0;0;0;0;505;508;0;507;38;12
10;0;0;0;0;504;509;0;507;38;12
11;0;0;0;0;506;510;0;512;38;12
12;0;0;0;0;509;510;0;504;38;12
13;0;0;0;0;511;509;0;505;38;12
14;0;0;0;0;518;510;0;505;38;12
15;0;0;0;0;521;511;0;504;38;12
0;0;0;0;0;521;513;0;506;38;12
1;0;0;0;0;515;514;0;506;38;12
2;0;0;0;0;507;513;0;507;38;12
3;0;0;0;0;503;513;0;508;38;12
4;0;0;0;0;500;511;0;508;38;12
5;0;0;0;0;501;513;0;507;38;12
6;0;0;0;0;505;514;0;508;38;12
7;0;0;0;0;498;514;0;508;38;12
8;0;0;0;0;502;513;0;508;38;12
9;0;0;0;0;505;511;0;508;38;12
10;0;0;0;0;504;510;0;509;38;12
11;0;0;0;0;503;512;0;509;38;12
12;0;0;0;0;501;511;0;508;38;12
13;0;0;0;0;503;511;0;506;38;12
14;0;0;0;0;504;510;0;505;38;12
15;0;0;0;0;504;510;0;505;38;12
0;0;0;0;0;508;509;0;504;38;12
1;0;0;0;0;504;510;0;504;38;12
2;0;0;0;0;508;511;0;505;38;12
3;0;0;0;0;511;512;0;508;38;12
4;0;0;0;0;509;512;0;508;38;12
5;0;0;0;0;508;513;0;509;38;12
6;0;0;0;0;504;511;0;510;38;12
7;0;0;0;0;501;510;0;510;38;12
8;0;0;0;0;506;512;0;509;38;12
9;0;0;0;0;504;511;0;506;38;12
10;0;0;0;0;505;511;0;504;38;12
11;0;0;0;0;503;511;0;507;38;12
12;0;0;0;0;505;513;0;503;38;12
13;0;0;0;0;505;512;0;520;38;12
14;0;0;0;0;501;511;0;504;38;12
15;0;0;0;0;499;513;0;507;38;12
0;0;0;0;0;498;513;0;502;38;12
1;0;0;0;0;498;513;0;499;38;12
2;0;0;0;0;499;512;0;499;38;12
3;0;0;0;0;508;511;0;499;38;12
4;0;0;0;0;519;511;0;499;38;12
5;0;0;0;0;522;510;0;499;38;12
6;0;0;0;0;515;509;0;499;38;12
7;0;0;0;0;511;511;0;500;38;12
8;0;0;0;0;505;510;0;500;38;12
9;0;0;0;0;502;511;0;511;38;12
10;0;0;0;0;508;512;0;518;38;12
11;0;0;0;0;518;512;0;521;38;12
12;0;0;0;0;524;511;0;519;38;12
13;0;0;0;0;507;511;0;519;38;12
14;0;0;0;0;496;511;0;516;38;12
15;0;0;0;0;486;511;0;515;38;12
0;0;0;0;0;497;510;0;512;38;12
1;0;0;0;0;507;510;0;510;38;12
2;0;0;0;0;504;510;0;509;38;12
3;0;0;0;0;508;510;0;509;38;12
4;0;0;0;0;507;509;0;508;38;12
5;0;0;0;0;508;511;0;509;38;12
6;0;0;0;0;508;513;0;507;38;12
7;0;0;0;0;506;513;0;507;38;12
8;0;0;0;0;508;513;0;508;38;12
9;0;0;0;0;510;513;0;506;38;12
10;0;0;0;0;508;513;0;508;38;12
11;0;0;0;0;505;512;0;509;38;12
12;0;0;0;0;503;511;0;510;38;12
13;0;0;0;0;506;510;0;510;38;12
14;0;0;0;0;506;510;0;509;38;12
15;0;0;0;0;508;511;0;515;38;12
0;0;0;0;0;510;510;0;505;38;12
1;0;0;0;0;513;510;0;504;38;12
2;0;0;0;0;509;510;0;505;38;12
3;0;0;0;0;505;511;0;506;38;12
4;0;0;0;0;507;512;0;506;38;12
5;0;0;0;0;502;512;0;506;38;12
6;0;0;0;0;499;511;0;508;38;12
7;0;0;0;0;502;510;0;509;38;12
8;0;0;0;0;506;509;0;508;38;12
9;0;0;0;0;510;510;0;510;38;12
10;0;0;0;0;506;511;0;510;38;12
11;0;0;0;0;505;511;0;511;38;12
12;0;0;0;0;502;512;0;510;38;12
13;0;0;0;0;511;510;0;509;38;12
14;0;0;0;0;509;512;0;510;38;12
15;0;0;0;0;515;510;0;512;38;12
0;0;0;0;0;518;507;0;512;38;12
1;0;0;0;0;515;504;0;513;38;12
2;0;0;0;0;510;505;0;512;38;12
3;0;0;0;0;508;509;0;513;38;12
4;0;0;0;0;504;509;0;511;38;12
5;0;0;0;0;504;507;0;510;38;12
6;0;0;0;0;507;508;0;504;38;12
