nSeq;I1;I2;O1;O2;A3
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;223
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;223
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;223
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;223
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;223
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;222
10;0;0;0;0;223
11;0;0;0;0;222
12;0;0;0;0;223
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;223
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;223
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;223
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;222
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;222
6;0;0;0;0;222
7;0;0;0;0;222
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;222
2;0;0;0;0;221
3;0;0;0;0;222
4;0;0;0;0;222
5;0;0;0;0;221
6;0;0;0;0;222
7;0;0;0;0;221
8;0;0;0;0;222
9;0;0;0;0;222
10;0;0;0;0;222
11;0;0;0;0;222
12;0;0;0;0;222
13;0;0;0;0;222
14;0;0;0;0;222
15;0;0;0;0;222
0;0;0;0;0;222
1;0;0;0;0;221
2;0;0;0;0;222
3;0;0;0;0;221
4;0;0;0;0;222
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;222
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;222
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
